0.94,1.18,1.28,1.36,1.45,1.52,1.58,1.6,1.55
1.02,1.32,1.42,1.52,1.64,1.73,1.78,1.83,1.8
1.35,1.7,1.87,2,2.16,2.26,2.36,2.42,2.41
1.79,2.24,2.45,2.64,2.83,2.96,3.09,3.19,3.2
2.35,2.94,3.22,3.47,3.77,4,4.19,4.33,4.46
2.67,3.32,3.64,3.93,4.27,4.53,4.77,5.01,5.36
3.09,3.78,4.13,4.45,4.83,5.13,5.43,5.71,6.09
3.26,3.98,4.34,4.68,5.09,5.44,5.76,6.07,6.55
3.44,4.17,4.55,4.89,5.33,5.7,6.05,6.41,6.99
3.56,4.32,4.71,5.08,5.51,5.87,6.23,6.6,7.22
3.7,4.49,4.89,5.27,5.74,6.12,6.5,6.91,7.66
3.74,4.53,4.94,5.32,5.8,6.21,6.63,7.07,7.95
3.8,4.6,5.01,5.4,5.88,6.29,6.73,7.19,8.12
3.86,4.66,5.08,5.47,5.96,6.38,6.82,7.29,8.24
